title,exists,page_id,size_bytes,total_views_30days,average_daily_views,total_contributors,total_edits,category_count,references_count,last_revision_id,last_edit_timestamp,days_since_last_edit,is_protected,categories,error,all_categories,timestamp
Tokyo,True,30057,222347,458139,15271.3,2598,12981,40,242,1282248297,2025-03-25T07:40:34Z,0,True,"1450s establishments in Japan,1457 establishments in Asia,All Wikipedia articles in need of updating,All Wikipedia articles written in American English,All articles containing potentially dated statements,All articles with dead external links,Articles containing Japanese-language text,Articles containing potentially dated statements from 2014,Articles containing potentially dated statements from 2022,Articles containing potentially dated statements from 2023,Articles containing potentially dated statements from 2024,Articles with Japanese-language sources (ja),Articles with dead external links from November 2023,Articles with permanently dead external links,Articles with short description,CS1 Japanese-language sources (ja),CS1 uses Japanese-language script (ja),Capitals in Asia,Coordinates on Wikidata,Kantō region,Pages including recorded pronunciations,Pages using Sister project links with hidden wikidata,Pages using gadget WikiMiniAtlas,Pages using multiple image with auto scaled images,Pages using the Graph extension,Pages using the Kartographer extension,Pages using the Phonos extension,Pages with Japanese IPA,Pages with disabled graphs,Pages with non-numeric formatnum arguments,Populated coastal places in Japan,Populated places established in the 1450s,Port settlements in Japan,Short description is different from Wikidata,States and territories established in the 1450s,Tokyo,Use American English from November 2022,Use mdy dates from March 2024,Webarchive template wayback links,Wikipedia articles in need of updating from May 2024",,"[""1450s establishments in Japan"", ""1457 establishments in Asia"", ""All Wikipedia articles in need of updating"", ""All Wikipedia articles written in American English"", ""All articles containing potentially dated statements"", ""All articles with dead external links"", ""Articles containing Japanese-language text"", ""Articles containing potentially dated statements from 2014"", ""Articles containing potentially dated statements from 2022"", ""Articles containing potentially dated statements from 2023"", ""Articles containing potentially dated statements from 2024"", ""Articles with Japanese-language sources (ja)"", ""Articles with dead external links from November 2023"", ""Articles with permanently dead external links"", ""Articles with short description"", ""CS1 Japanese-language sources (ja)"", ""CS1 uses Japanese-language script (ja)"", ""Capitals in Asia"", ""Coordinates on Wikidata"", ""Kant\u014d region"", ""Pages including recorded pronunciations"", ""Pages using Sister project links with hidden wikidata"", ""Pages using gadget WikiMiniAtlas"", ""Pages using multiple image with auto scaled images"", ""Pages using the Graph extension"", ""Pages using the Kartographer extension"", ""Pages using the Phonos extension"", ""Pages with Japanese IPA"", ""Pages with disabled graphs"", ""Pages with non-numeric formatnum arguments"", ""Populated coastal places in Japan"", ""Populated places established in the 1450s"", ""Port settlements in Japan"", ""Short description is different from Wikidata"", ""States and territories established in the 1450s"", ""Tokyo"", ""Use American English from November 2022"", ""Use mdy dates from March 2024"", ""Webarchive template wayback links"", ""Wikipedia articles in need of updating from May 2024""]",2025-03-25 21:21:04
The Lord of the Rings,True,29798,109499,180096,6003.2,2886,14366,31,185,1281997724,2025-03-23T18:43:29Z,2,False,"1954 British novels,1954 fantasy novels,Allen & Unwin books,Articles with short description,BILBY Award–winning works,Books by J. R. R. Tolkien,British adventure novels,British novels adapted into films,CS1 Finnish-language sources (fi),CS1 French-language sources (fr),CS1 German-language sources (de),CS1 Swedish-language sources (sv),CS1 Ukrainian-language sources (uk),Commons category link is on Wikidata,English fantasy novels,Epic novels,Good articles,High fantasy novels,Middle-earth books,Mythopoeia,Novels about talking trees,Novels set in fictional countries,Pages containing links to subscription-only content,Sequel novels,Short description is different from Wikidata,The Lord of the Rings,Three-volume novels,Use Oxford spelling from November 2024,Use dmy dates from November 2024,Völsung cycle,Webarchive template wayback links",,"[""1954 British novels"", ""1954 fantasy novels"", ""Allen & Unwin books"", ""Articles with short description"", ""BILBY Award\u2013winning works"", ""Books by J. R. R. Tolkien"", ""British adventure novels"", ""British novels adapted into films"", ""CS1 Finnish-language sources (fi)"", ""CS1 French-language sources (fr)"", ""CS1 German-language sources (de)"", ""CS1 Swedish-language sources (sv)"", ""CS1 Ukrainian-language sources (uk)"", ""Commons category link is on Wikidata"", ""English fantasy novels"", ""Epic novels"", ""Good articles"", ""High fantasy novels"", ""Middle-earth books"", ""Mythopoeia"", ""Novels about talking trees"", ""Novels set in fictional countries"", ""Pages containing links to subscription-only content"", ""Sequel novels"", ""Short description is different from Wikidata"", ""The Lord of the Rings"", ""Three-volume novels"", ""Use Oxford spelling from November 2024"", ""Use dmy dates from November 2024"", ""V\u00f6lsung cycle"", ""Webarchive template wayback links""]",2025-03-25 21:21:04
Game of Thrones,True,20715044,341076,353416,11780.53,1643,9385,52,478,1280826895,2025-03-16T18:00:28Z,9,True,"2010s American drama television series,2011 American television series debuts,2019 American television series endings,All Wikipedia articles written in American English,All articles containing potentially dated statements,American English-language television shows,American action adventure television series,American adventure television series,American fantasy drama television series,Articles containing potentially dated statements from 2013,Articles with short description,CS1 German-language sources (de),CS1 maint: DOI inactive as of November 2024,Dark fantasy television series,Epic television series,Family saga television series,Fiction about regicide,Game of Thrones,Good articles,HBO television dramas,High fantasy television series,Hugo Award–winning television series,Nudity in television,Obscenity controversies in television,Pages using Sister project links with hidden wikidata,Pages using the EasyTimeline extension,Peabody Award–winning television programs,Primetime Emmy Award for Outstanding Drama Series winners,Primetime Emmy Award–winning television series,Saturn Award–winning television series,Serial drama television series,Short description is different from Wikidata,Television controversies in the United States,Television series about dysfunctional families,Television series by Home Box Office,Television series created by D. B. Weiss,Television series created by David Benioff,Television series set in castles,Television shows about incest,Television shows about magic,Television shows about rape,Television shows adapted into video games,Television shows based on American novels,Television shows filmed in Croatia,Television shows filmed in Los Angeles,Television shows filmed in Malta,Television shows filmed in Northern Ireland,Television shows filmed in Spain,Use American English from August 2019,Use mdy dates from August 2024,Wikipedia pages semi-protected against vandalism,Works based on A Song of Ice and Fire",,"[""2010s American drama television series"", ""2011 American television series debuts"", ""2019 American television series endings"", ""All Wikipedia articles written in American English"", ""All articles containing potentially dated statements"", ""American English-language television shows"", ""American action adventure television series"", ""American adventure television series"", ""American fantasy drama television series"", ""Articles containing potentially dated statements from 2013"", ""Articles with short description"", ""CS1 German-language sources (de)"", ""CS1 maint: DOI inactive as of November 2024"", ""Dark fantasy television series"", ""Epic television series"", ""Family saga television series"", ""Fiction about regicide"", ""Game of Thrones"", ""Good articles"", ""HBO television dramas"", ""High fantasy television series"", ""Hugo Award\u2013winning television series"", ""Nudity in television"", ""Obscenity controversies in television"", ""Pages using Sister project links with hidden wikidata"", ""Pages using the EasyTimeline extension"", ""Peabody Award\u2013winning television programs"", ""Primetime Emmy Award for Outstanding Drama Series winners"", ""Primetime Emmy Award\u2013winning television series"", ""Saturn Award\u2013winning television series"", ""Serial drama television series"", ""Short description is different from Wikidata"", ""Television controversies in the United States"", ""Television series about dysfunctional families"", ""Television series by Home Box Office"", ""Television series created by D. B. Weiss"", ""Television series created by David Benioff"", ""Television series set in castles"", ""Television shows about incest"", ""Television shows about magic"", ""Television shows about rape"", ""Television shows adapted into video games"", ""Television shows based on American novels"", ""Television shows filmed in Croatia"", ""Television shows filmed in Los Angeles"", ""Television shows filmed in Malta"", ""Television shows filmed in Northern Ireland"", ""Television shows filmed in Spain"", ""Use American English from August 2019"", ""Use mdy dates from August 2024"", ""Wikipedia pages semi-protected against vandalism"", ""Works based on A Song of Ice and Fire""]",2025-03-25 21:21:05
Blockchain,True,44065971,134509,143089,4769.63,729,3702,34,186,1279254665,2025-03-07T12:23:27Z,18,True,"21st-century inventions,All Wikipedia articles in need of updating,All articles containing potentially dated statements,All articles lacking reliable references,All articles to be merged,All articles with self-published sources,All articles with unsourced statements,All pages needing factual verification,Articles containing potentially dated statements from April 2018,Articles lacking reliable references from November 2021,Articles to be merged from February 2025,Articles with excerpts,Articles with self-published sources from April 2018,Articles with short description,Articles with unsourced statements from June 2022,Bitcoin,Blockchains,CS1 maint: DOI inactive as of November 2024,CS1 maint: location missing publisher,Commons category link from Wikidata,Computer-related introductions in 2009,Cryptocurrencies,Database management systems,Database models,Decentralization,Financial metadata,Information systems,Short description matches Wikidata,Use dmy dates from May 2019,Webarchive template wayback links,Wikipedia articles in need of updating from August 2023,Wikipedia articles needing clarification from October 2021,Wikipedia articles needing factual verification from January 2022,Wikipedia indefinitely semi-protected pages",,"[""21st-century inventions"", ""All Wikipedia articles in need of updating"", ""All articles containing potentially dated statements"", ""All articles lacking reliable references"", ""All articles to be merged"", ""All articles with self-published sources"", ""All articles with unsourced statements"", ""All pages needing factual verification"", ""Articles containing potentially dated statements from April 2018"", ""Articles lacking reliable references from November 2021"", ""Articles to be merged from February 2025"", ""Articles with excerpts"", ""Articles with self-published sources from April 2018"", ""Articles with short description"", ""Articles with unsourced statements from June 2022"", ""Bitcoin"", ""Blockchains"", ""CS1 maint: DOI inactive as of November 2024"", ""CS1 maint: location missing publisher"", ""Commons category link from Wikidata"", ""Computer-related introductions in 2009"", ""Cryptocurrencies"", ""Database management systems"", ""Database models"", ""Decentralization"", ""Financial metadata"", ""Information systems"", ""Short description matches Wikidata"", ""Use dmy dates from May 2019"", ""Webarchive template wayback links"", ""Wikipedia articles in need of updating from August 2023"", ""Wikipedia articles needing clarification from October 2021"", ""Wikipedia articles needing factual verification from January 2022"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:05
United Nations,True,31769,176538,269071,8969.03,2476,9132,47,285,1281686297,2025-03-21T21:51:07Z,3,True,"1945 establishments in the United States,Accuracy disputes from October 2024,All accuracy disputes,All articles containing potentially dated statements,All articles with dead external links,All articles with unsourced statements,Articles containing Arabic-language text,Articles containing Chinese-language text,Articles containing French-language text,Articles containing Russian-language text,Articles containing Spanish-language text,Articles containing potentially dated statements from 2022,Articles containing potentially dated statements from 2025,Articles containing potentially dated statements from April 2021,Articles containing potentially dated statements from November 2023,Articles with Arabic-language sources (ar),Articles with Chinese-language sources (zh),Articles with French-language sources (fr),Articles with Internet Archive links,Articles with LibriVox links,Articles with Russian-language sources (ru),Articles with Spanish-language sources (es),Articles with dead external links from July 2018,Articles with permanently dead external links,Articles with short description,Articles with unsourced statements from February 2025,CS1 French-language sources (fr),Intergovernmental organizations established by treaty,Interlanguage link template existing link,Nobelprize template using Wikidata property P8024,Organizations awarded Nobel Peace Prizes,Organizations based in New York City,Organizations established in 1945,Pages using Sister project links with default search,Pages using Sister project links with wikidata mismatch,Pages using Sister project links with wikidata namespace mismatch,Pages using infobox country or infobox former country with the symbol caption or type parameters,Peace organizations,Sakharov Prize laureates,Short description is different from Wikidata,United Nations,Use Oxford spelling from February 2022,Use dmy dates from May 2022,Webarchive template wayback links,Wikipedia external links cleanup from February 2024,Wikipedia indefinitely move-protected pages,Wikipedia indefinitely semi-protected pages",,"[""1945 establishments in the United States"", ""Accuracy disputes from October 2024"", ""All accuracy disputes"", ""All articles containing potentially dated statements"", ""All articles with dead external links"", ""All articles with unsourced statements"", ""Articles containing Arabic-language text"", ""Articles containing Chinese-language text"", ""Articles containing French-language text"", ""Articles containing Russian-language text"", ""Articles containing Spanish-language text"", ""Articles containing potentially dated statements from 2022"", ""Articles containing potentially dated statements from 2025"", ""Articles containing potentially dated statements from April 2021"", ""Articles containing potentially dated statements from November 2023"", ""Articles with Arabic-language sources (ar)"", ""Articles with Chinese-language sources (zh)"", ""Articles with French-language sources (fr)"", ""Articles with Internet Archive links"", ""Articles with LibriVox links"", ""Articles with Russian-language sources (ru)"", ""Articles with Spanish-language sources (es)"", ""Articles with dead external links from July 2018"", ""Articles with permanently dead external links"", ""Articles with short description"", ""Articles with unsourced statements from February 2025"", ""CS1 French-language sources (fr)"", ""Intergovernmental organizations established by treaty"", ""Interlanguage link template existing link"", ""Nobelprize template using Wikidata property P8024"", ""Organizations awarded Nobel Peace Prizes"", ""Organizations based in New York City"", ""Organizations established in 1945"", ""Pages using Sister project links with default search"", ""Pages using Sister project links with wikidata mismatch"", ""Pages using Sister project links with wikidata namespace mismatch"", ""Pages using infobox country or infobox former country with the symbol caption or type parameters"", ""Peace organizations"", ""Sakharov Prize laureates"", ""Short description is different from Wikidata"", ""United Nations"", ""Use Oxford spelling from February 2022"", ""Use dmy dates from May 2022"", ""Webarchive template wayback links"", ""Wikipedia external links cleanup from February 2024"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:05
Artificial intelligence,True,1164,283332,707319,23577.3,2645,12290,23,455,1282286553,2025-03-25T14:26:08Z,0,True,"All accuracy disputes,All articles with unsourced statements,Articles with Internet Encyclopedia of Philosophy links,Articles with disputed statements from July 2024,Articles with excerpts,Articles with short description,Articles with unsourced statements from June 2024,Artificial intelligence,CS1: long volume value,CS1 German-language sources (de),CS1 Japanese-language sources (ja),Computational fields of study,Computational neuroscience,Cybernetics,Data science,Formal sciences,Intelligence by type,Pages displaying short descriptions of redirect targets via Module:Annotated link,Pages using Sister project links with hidden wikidata,Short description is different from Wikidata,Use dmy dates from July 2023,Webarchive template wayback links,Wikipedia indefinitely semi-protected pages",,"[""All accuracy disputes"", ""All articles with unsourced statements"", ""Articles with Internet Encyclopedia of Philosophy links"", ""Articles with disputed statements from July 2024"", ""Articles with excerpts"", ""Articles with short description"", ""Articles with unsourced statements from June 2024"", ""Artificial intelligence"", ""CS1: long volume value"", ""CS1 German-language sources (de)"", ""CS1 Japanese-language sources (ja)"", ""Computational fields of study"", ""Computational neuroscience"", ""Cybernetics"", ""Data science"", ""Formal sciences"", ""Intelligence by type"", ""Pages displaying short descriptions of redirect targets via Module:Annotated link"", ""Pages using Sister project links with hidden wikidata"", ""Short description is different from Wikidata"", ""Use dmy dates from July 2023"", ""Webarchive template wayback links"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:06
Black hole,True,4650,168242,320896,10696.53,1978,8308,19,224,1282175473,2025-03-24T20:24:47Z,1,True,"All articles with unsourced statements,Articles containing video clips,Articles with imported Creative Commons Attribution 4.0 text,Articles with short description,Articles with unsourced statements from March 2025,Black holes,Concepts in astronomy,EngvarB from August 2024,Galaxies,Good articles,Pages using Sister project links with hidden wikidata,Pages using Sister project links with wikidata namespace mismatch,Pages using multiple image with auto scaled images,Short description is different from Wikidata,Theory of relativity,Use dmy dates from March 2025,Webarchive template wayback links,Wikipedia articles needing clarification from February 2016,Wikipedia indefinitely semi-protected pages",,"[""All articles with unsourced statements"", ""Articles containing video clips"", ""Articles with imported Creative Commons Attribution 4.0 text"", ""Articles with short description"", ""Articles with unsourced statements from March 2025"", ""Black holes"", ""Concepts in astronomy"", ""EngvarB from August 2024"", ""Galaxies"", ""Good articles"", ""Pages using Sister project links with hidden wikidata"", ""Pages using Sister project links with wikidata namespace mismatch"", ""Pages using multiple image with auto scaled images"", ""Short description is different from Wikidata"", ""Theory of relativity"", ""Use dmy dates from March 2025"", ""Webarchive template wayback links"", ""Wikipedia articles needing clarification from February 2016"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:06
Albert Einstein,True,736,230963,501290,16709.67,3898,18814,107,340,1282262180,2025-03-25T10:38:13Z,0,True,"1879 births,1955 deaths,19th-century German Jews,20th-century American engineers,20th-century American inventors,20th-century American male writers,20th-century American non-fiction writers,20th-century American physicists,20th-century Swiss inventors,Academic staff of Charles University,Academic staff of ETH Zurich,Academic staff of the University of Bern,Academic staff of the University of Zurich,Albert Einstein,All Wikipedia articles written in American English,All articles with unsourced statements,American Ashkenazi Jews,American Nobel laureates,American Zionists,American agnostics,American democratic socialists,American humanists,American letter writers,American male non-fiction writers,American pacifists,American relativity theorists,American science writers,Anti-nationalists,Articles containing German-language text,Articles needing more detailed references,Articles with Internet Archive links,Articles with LibriVox links,Articles with Project Gutenberg links,Articles with hAudio microformats,Articles with hCards,Articles with short description,Articles with unsourced statements from February 2025,Biography with signature,CS1: long volume value,CS1 French-language sources (fr),CS1 German-language sources (de),CS1 location test,CS1 maint: DOI inactive as of February 2025,Deaths from abdominal aortic aneurysm,Denaturalized citizens of Germany,ETH Zurich alumni,Einstein family,European democratic socialists,German Ashkenazi Jews,German Nobel laureates,German Zionists,German agnostics,German emigrants to Switzerland,German humanists,German male non-fiction writers,German relativity theorists,Good articles,Institute for Advanced Study faculty,International members of the American Philosophical Society,Jewish American non-fiction writers,Jewish American physicists,Jewish German physicists,Jewish Nobel laureates,Jewish agnostics,Jewish emigrants from Nazi Germany to the United States,Jewish scientists,Jewish socialists,Labor Zionists,Max Planck Institute directors,Members of the Royal Netherlands Academy of Arts and Sciences,Members of the United States National Academy of Sciences,Naturalised citizens of Austria,Naturalised citizens of Switzerland,Naturalized citizens of the United States,Nobel laureates in Physics,Nobelprize template using Wikidata property P8024,Pages including recorded pronunciations,Pages using Sister project links with hidden wikidata,Pages using the Phonos extension,Pages with German IPA,Pantheists,Patent examiners,People from Ulm,People who lost German citizenship,People with multiple citizenship,Philosophers of mathematics,Philosophers of science,Philosophy of science,Quantum physicists,Recipients of Franklin Medal,Scientists from Munich,Short description is different from Wikidata,Stateless people,Swiss Ashkenazi Jews,Swiss Nobel laureates,Swiss agnostics,Swiss cosmologists,Swiss emigrants to the United States,Swiss physicists,University of Zurich alumni,Use American English from August 2024,Use dmy dates from August 2024,Wikipedia articles incorporating a citation from the 1922 Encyclopaedia Britannica with Wikisource reference,Wikipedia indefinitely move-protected pages,Wikipedia indefinitely semi-protected pages,Winners of the Max Planck Medal,Württemberger emigrants to the United States",,"[""1879 births"", ""1955 deaths"", ""19th-century German Jews"", ""20th-century American engineers"", ""20th-century American inventors"", ""20th-century American male writers"", ""20th-century American non-fiction writers"", ""20th-century American physicists"", ""20th-century Swiss inventors"", ""Academic staff of Charles University"", ""Academic staff of ETH Zurich"", ""Academic staff of the University of Bern"", ""Academic staff of the University of Zurich"", ""Albert Einstein"", ""All Wikipedia articles written in American English"", ""All articles with unsourced statements"", ""American Ashkenazi Jews"", ""American Nobel laureates"", ""American Zionists"", ""American agnostics"", ""American democratic socialists"", ""American humanists"", ""American letter writers"", ""American male non-fiction writers"", ""American pacifists"", ""American relativity theorists"", ""American science writers"", ""Anti-nationalists"", ""Articles containing German-language text"", ""Articles needing more detailed references"", ""Articles with Internet Archive links"", ""Articles with LibriVox links"", ""Articles with Project Gutenberg links"", ""Articles with hAudio microformats"", ""Articles with hCards"", ""Articles with short description"", ""Articles with unsourced statements from February 2025"", ""Biography with signature"", ""CS1: long volume value"", ""CS1 French-language sources (fr)"", ""CS1 German-language sources (de)"", ""CS1 location test"", ""CS1 maint: DOI inactive as of February 2025"", ""Deaths from abdominal aortic aneurysm"", ""Denaturalized citizens of Germany"", ""ETH Zurich alumni"", ""Einstein family"", ""European democratic socialists"", ""German Ashkenazi Jews"", ""German Nobel laureates"", ""German Zionists"", ""German agnostics"", ""German emigrants to Switzerland"", ""German humanists"", ""German male non-fiction writers"", ""German relativity theorists"", ""Good articles"", ""Institute for Advanced Study faculty"", ""International members of the American Philosophical Society"", ""Jewish American non-fiction writers"", ""Jewish American physicists"", ""Jewish German physicists"", ""Jewish Nobel laureates"", ""Jewish agnostics"", ""Jewish emigrants from Nazi Germany to the United States"", ""Jewish scientists"", ""Jewish socialists"", ""Labor Zionists"", ""Max Planck Institute directors"", ""Members of the Royal Netherlands Academy of Arts and Sciences"", ""Members of the United States National Academy of Sciences"", ""Naturalised citizens of Austria"", ""Naturalised citizens of Switzerland"", ""Naturalized citizens of the United States"", ""Nobel laureates in Physics"", ""Nobelprize template using Wikidata property P8024"", ""Pages including recorded pronunciations"", ""Pages using Sister project links with hidden wikidata"", ""Pages using the Phonos extension"", ""Pages with German IPA"", ""Pantheists"", ""Patent examiners"", ""People from Ulm"", ""People who lost German citizenship"", ""People with multiple citizenship"", ""Philosophers of mathematics"", ""Philosophers of science"", ""Philosophy of science"", ""Quantum physicists"", ""Recipients of Franklin Medal"", ""Scientists from Munich"", ""Short description is different from Wikidata"", ""Stateless people"", ""Swiss Ashkenazi Jews"", ""Swiss Nobel laureates"", ""Swiss agnostics"", ""Swiss cosmologists"", ""Swiss emigrants to the United States"", ""Swiss physicists"", ""University of Zurich alumni"", ""Use American English from August 2024"", ""Use dmy dates from August 2024"", ""Wikipedia articles incorporating a citation from the 1922 Encyclopaedia Britannica with Wikisource reference"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia indefinitely semi-protected pages"", ""Winners of the Max Planck Medal"", ""W\u00fcrttemberger emigrants to the United States""]",2025-03-25 21:21:09
Vincent van Gogh,True,32603,154441,240859,8028.63,1780,13404,45,337,1282138132,2025-03-24T15:45:04Z,1,True,"1853 births,1890 deaths,1890s suicides,Articles containing Dutch-language text,Articles containing French-language text,Articles containing German-language text,Articles with Internet Archive links,Articles with LibriVox links,Articles with Project Gutenberg links,Articles with hCards,Articles with short description,Artists who died by suicide,Biography with signature,Burials in Île-de-France,CS1 Dutch-language sources (nl),CS1 French-language sources (fr),CS1 German-language sources (de),Dutch Christians,Dutch Protestants,Dutch expatriates in Belgium,Dutch expatriates in France,Dutch expatriates in the United Kingdom,Dutch flower artists,Dutch landscape painters,Dutch male painters,Dutch people with disabilities,Dutch still life painters,Featured articles,Pages including recorded pronunciations,Pages using the Phonos extension,Pages with Dutch IPA,Pages with French IPA,People from Zundert,People of Montmartre,Post-impressionist painters,Royal Academy of Fine Arts, Brussels alumni,Royal Academy of Fine Arts (Antwerp) alumni,Short description matches Wikidata,Suicides by firearm in France,Use British English from December 2024,Use dmy dates from October 2024,Vincent van Gogh,Webarchive template wayback links,Wikipedia indefinitely move-protected pages,Wikipedia indefinitely semi-protected pages",,"[""1853 births"", ""1890 deaths"", ""1890s suicides"", ""Articles containing Dutch-language text"", ""Articles containing French-language text"", ""Articles containing German-language text"", ""Articles with Internet Archive links"", ""Articles with LibriVox links"", ""Articles with Project Gutenberg links"", ""Articles with hCards"", ""Articles with short description"", ""Artists who died by suicide"", ""Biography with signature"", ""Burials in \u00cele-de-France"", ""CS1 Dutch-language sources (nl)"", ""CS1 French-language sources (fr)"", ""CS1 German-language sources (de)"", ""Dutch Christians"", ""Dutch Protestants"", ""Dutch expatriates in Belgium"", ""Dutch expatriates in France"", ""Dutch expatriates in the United Kingdom"", ""Dutch flower artists"", ""Dutch landscape painters"", ""Dutch male painters"", ""Dutch people with disabilities"", ""Dutch still life painters"", ""Featured articles"", ""Pages including recorded pronunciations"", ""Pages using the Phonos extension"", ""Pages with Dutch IPA"", ""Pages with French IPA"", ""People from Zundert"", ""People of Montmartre"", ""Post-impressionist painters"", ""Royal Academy of Fine Arts, Brussels alumni"", ""Royal Academy of Fine Arts (Antwerp) alumni"", ""Short description matches Wikidata"", ""Suicides by firearm in France"", ""Use British English from December 2024"", ""Use dmy dates from October 2024"", ""Vincent van Gogh"", ""Webarchive template wayback links"", ""Wikipedia indefinitely move-protected pages"", ""Wikipedia indefinitely semi-protected pages""]",2025-03-25 21:21:09
SpaceX,True,832774,228224,364718,12157.27,1628,7365,37,357,1281963031,2025-03-23T15:02:41Z,2,True,"2002 establishments in California,Aerospace companies of the United States,All Wikipedia articles written in American English,All articles containing potentially dated statements,All articles with dead external links,All pages needing factual verification,American companies established in 2002,Articles containing potentially dated statements from 2017,Articles containing potentially dated statements from 2024,Articles containing video clips,Articles with dead external links from August 2023,Articles with short description,Commercial launch service providers,Commons category link from Wikidata,Companies based in Los Angeles County, California,Elon Musk,Good articles,Hawthorne, California,Hyperloop,Manufacturing companies based in Greater Los Angeles,Manufacturing companies established in 2002,Nelson P. Jackson Aerospace Memorial Award winners,Pages using infobox company using trading name,Pages with non-numeric formatnum arguments,Private spaceflight companies,Science and technology in Greater Los Angeles,Short description is different from Wikidata,Source attribution,SpaceX,Spacecraft manufacturers,Technology companies based in Greater Los Angeles,Technology companies established in 2002,Use American English from February 2023,Use dmy dates from November 2024,Webarchive template wayback links,Wikipedia articles needing factual verification from October 2023,Wikipedia semi-protected pages",,"[""2002 establishments in California"", ""Aerospace companies of the United States"", ""All Wikipedia articles written in American English"", ""All articles containing potentially dated statements"", ""All articles with dead external links"", ""All pages needing factual verification"", ""American companies established in 2002"", ""Articles containing potentially dated statements from 2017"", ""Articles containing potentially dated statements from 2024"", ""Articles containing video clips"", ""Articles with dead external links from August 2023"", ""Articles with short description"", ""Commercial launch service providers"", ""Commons category link from Wikidata"", ""Companies based in Los Angeles County, California"", ""Elon Musk"", ""Good articles"", ""Hawthorne, California"", ""Hyperloop"", ""Manufacturing companies based in Greater Los Angeles"", ""Manufacturing companies established in 2002"", ""Nelson P. Jackson Aerospace Memorial Award winners"", ""Pages using infobox company using trading name"", ""Pages with non-numeric formatnum arguments"", ""Private spaceflight companies"", ""Science and technology in Greater Los Angeles"", ""Short description is different from Wikidata"", ""Source attribution"", ""SpaceX"", ""Spacecraft manufacturers"", ""Technology companies based in Greater Los Angeles"", ""Technology companies established in 2002"", ""Use American English from February 2023"", ""Use dmy dates from November 2024"", ""Webarchive template wayback links"", ""Wikipedia articles needing factual verification from October 2023"", ""Wikipedia semi-protected pages""]",2025-03-25 21:21:10
Hubble Space Telescope,True,40203,224012,70656,2355.2,1519,7394,37,288,1282051077,2025-03-24T00:33:05Z,1,True,"All Wikipedia articles written in American English,All articles containing potentially dated statements,Articles containing German-language text,Articles containing potentially dated statements from 2017,Articles containing video clips,Articles with hAudio microformats,Articles with short description,CS1: long volume value,CS1: unfit URL,CS1 German-language sources (de),Commons category link is on Wikidata,Edwin Hubble,European Space Agency satellites,Featured articles,Great Observatories program,Hubble Space Telescope,Lockheed Corporation,NASA satellites,Nelson P. Jackson Aerospace Memorial Award winners,Official website different in Wikidata and Wikipedia,Pages using multiple image with auto scaled images,Pages using the EasyTimeline extension,Pages with non-numeric formatnum arguments,Short description is different from Wikidata,Source attribution,Space accidents and incidents in the United States,Space science experiments,Space telescopes orbiting Earth,Spacecraft launched by the Space Shuttle,Spacecraft launched in 1990,Spoken articles,Ultraviolet telescopes,Use American English from March 2018,Use mdy dates from November 2022,Webarchive template wayback links,Wikipedia articles needing clarification from August 2023,Wikipedia indefinitely move-protected pages",,"[""All Wikipedia articles written in American English"", ""All articles containing potentially dated statements"", ""Articles containing German-language text"", ""Articles containing potentially dated statements from 2017"", ""Articles containing video clips"", ""Articles with hAudio microformats"", ""Articles with short description"", ""CS1: long volume value"", ""CS1: unfit URL"", ""CS1 German-language sources (de)"", ""Commons category link is on Wikidata"", ""Edwin Hubble"", ""European Space Agency satellites"", ""Featured articles"", ""Great Observatories program"", ""Hubble Space Telescope"", ""Lockheed Corporation"", ""NASA satellites"", ""Nelson P. Jackson Aerospace Memorial Award winners"", ""Official website different in Wikidata and Wikipedia"", ""Pages using multiple image with auto scaled images"", ""Pages using the EasyTimeline extension"", ""Pages with non-numeric formatnum arguments"", ""Short description is different from Wikidata"", ""Source attribution"", ""Space accidents and incidents in the United States"", ""Space science experiments"", ""Space telescopes orbiting Earth"", ""Spacecraft launched by the Space Shuttle"", ""Spacecraft launched in 1990"", ""Spoken articles"", ""Ultraviolet telescopes"", ""Use American English from March 2018"", ""Use mdy dates from November 2022"", ""Webarchive template wayback links"", ""Wikipedia articles needing clarification from August 2023"", ""Wikipedia indefinitely move-protected pages""]",2025-03-25 21:21:10
